title,price,rating,reviews
"Xiaomi Electric Scooter 4 Pro (2. generacji), zintegrowane wskaźniki kierunku, rama ze stali węglowej, system podwójnego hamowania, opony 10"", KERS odzysku energii, sterowanie Xiaomi Home App","2 571,58 zł","4,2 z 5 gwiazdek",Liczba ocen: 13
Denver SEL-65110LIME hulajnoga elektryczna,"833,82 zł",Poprzednia powiązana strona Sponsored Products,
"hulajnoga elektryczna dla dorosłych, mocny silnik, akumulator 48V/12,5/20Ah 20-60 km, zasięg i amortyzacja sprężyny, skuter elektryczny, składany, maksymalne obciążenie 150 kg","1 993,55 zł","2,9 z 5 gwiazdek",Liczba ocen: 2
"TODIMART Hulajnoga elektryczna dla dorosłych G2 Pro/S9/S12 silnik 800W/1000W/1600 W 48 V 13 Ah/48 V 20,8 Ah hulajnoga elektryczna, autonomia 55-70 KM bezdętkowe opony terenowe, czarna","2 911,00 zł","5,0 z 5 gwiazdek",Liczba ocen: 6
"Wispeed - C10-30 - Elektryczna hulajnoga dla dorosłych - Koła 10"" - Maks. zasięg 30 km - 4 tryby prędkości - IPX5 - Skuter elektryczny - Silnik 350 W - Czarny","1 535,35 zł","4,5 z 5 gwiazdek",Liczba ocen: 2
"Niu Uniseks Kqi3 Max Hulajnoga Elektryczna, Czarny/Antracytowy, do 65 km","2 369,99 zł przy oszczędności rzędu 5%","3,9 z 5 gwiazdek",Liczba ocen: 164
"Urban Glide Skuter elektryczny Ride 100, kierownica Stały, Czarny","1 462,06 zł","3,8 z 5 gwiazdek",Liczba ocen: 111
Scrambler Ducati City Cross-e Skuter elektryczny,"1 787,12 zł",Poprzednia powiązana strona Sponsored Products,
"Segway-Ninebot Unisex Ninebot Kickscooter Max G30D Ii 3802-025 Hulajnoga, Szary, 119.5 x 60 x 21 cm","2 681,10 zł","4,4 z 5 gwiazdek",Liczba ocen: 1 559
"Hulajnoga podwodna z wodoodporną torbą 30 m, 500 W RC Sup Motor 10-biegowy, głębokość 40 m, do deski surfingowej,","1 348,68 zł","3,4 z 5 gwiazdek",Liczba ocen: 6
"Hulajnoga elektryczna dla dorosłych, IPX4, 20 km/h, silnik 350 W, sterowanie aplikacją i ekran LCD, trzy tryby prędkości, e-hulajnoga dla dorosłych i młodzieży – zasięg do 28 km","1 099,99 zł","3,6 z 5 gwiazdek",Liczba ocen: 15
Urban Glide Ride Hulajnoga 65+,"882,37 zł",Poprzednia powiązana strona Sponsored Products,
"Hulajnoga elektryczna 20 km/h, 350 W, zasięg 30 km, składana hulajnoga elektryczna z aplikacją z blokadą i trybem cruise, 8,5 cala, dla dorosłych do 100 kg (czarna)","1 099,99 zł","3,4 z 5 gwiazdek",Liczba ocen: 163
"Segway-Ninebot E45D, Elektryczna Hulajnoga dla Dorosłych, maks. 20 km/h, 45 km zasięgu","1 701,58 zł","3,9 z 5 gwiazdek",Liczba ocen: 237
"FanttikRide C9 Apex elektryczna hulajnoga dziecięca, 120–160 cm, głośnik Bluetooth, światła tęczowe, 8/13/16 km/h, zasięg 8 km, regulowana wysokość, składana, dla dzieci do 60 kg, różowa","1 007,25 zł","4,6 z 5 gwiazdek",Liczba ocen: 18
"RCB Hulajnoga elektryczna dla dzieci, maksymalna autonomia 15 KM, maksymalna prędkość 15 km/h, 7 ""opony, składany skuter elektryczny dla dzieci z amortyzatorem, podwójny hamulec, prezent dla dzieci w","959,00 zł",Poprzednia powiązana strona Sponsored Products,
"Smartgyro Uniseks K2 Titan SG27-297 Hulajnoga Elektryczna, Szary, L","2 392,22 zł","3,9 z 5 gwiazdek",Liczba ocen: 155
"FanttikRide C9 Pro hulajnoga elektryczna dla dzieci od 8 lat, kolorowe tęczowe światła, 8/12,8/16 km/h, zasięg 5 mil, wyświetlacz LED, regulacja wysokości, składany, prezent dla chłopców i dziewczynek","929,98 zł","4,2 z 5 gwiazdek",Liczba ocen: 21
"SISIGAD Hulajnoga elektryczna dla dzieci 6-8-10 lat skuter elektryczny dla dzieci 5,3 cala z kolorowym światłem LED i 3 regulowanymi wysokościami, skuter elektryczny dla dzieci, maksymalne obciążenie","680,91 zł",Poprzednia powiązana strona Sponsored Products,
Urban Glide hulajnoga elektryczna 100,"1 353,98 zł",Poprzednia powiązana strona Sponsored Products,
"Hulajnoga elektryczna Kukirin G4 High Performance Off-Road Edition, zintegrowany silnik piasty 2000W Super Power, akumulator 20Ah, maksymalny zasięg 75km, hulajnoga elektryczna dla dorosłych","4 399,00 zł","5,0 z 5 gwiazdek",Liczba ocen: 2
"Hudora BigWheel 205 Hulajnoga Elektryczna, Wielokolorowy, 88x35x104 cm, 14695/02","362,35 zł","4,6 z 5 gwiazdek",Liczba ocen: 6 157
"Segway-Ninebot F2 Pro E 700068064 Hulajnoga Elektryczna, Czarny, Do 120 kg","2 720,99 zł","4,2 z 5 gwiazdek",Liczba ocen: 114
"Keenso Zestaw kontrolerów do roweru elektrycznego, 36/48 V, 250/350 W, uniwersalny kontroler do roweru elektrycznego, kontroler LCD, miernik dzielony, akcesoria do modyfikacji roweru elektrycznego","228,82 zł","3,0 z 5 gwiazdek",Liczba ocen: 3
"90/65-6.5 Elektryczna Opona do Hulajnogi, Gumowe Koło Zapasowe do Skutera Elektrycznego Doskonała Przyczepność do Hulajnogi Wymiennej","100,57 zł",Poprzednia powiązana strona Sponsored Products,
"Piasta kół do Hulajnogi Elektrycznej, Piasty 10x2,75–6,5, Duża nośność, Aluminiowe Koła do Hulajnogi Elektrycznej Akcesoria do Hulajnogi Elektrycznej","77,37 zł",Poprzednia powiązana strona Sponsored Products,
"Keenso 4 koła do deskorolki 60 mm, do deskorolki terenowej, Longboard (czarne) hulajnoga elektryczna, hulajnoga elektryczna, hulajnoga elektryczna","289,33&nbsp;zł za m","5,0 z 5 gwiazdek",Liczba ocen: 1
